,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0.0383779615470465
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,6.68874737131575
181,1.68297414512261
182,2.20737605277302
183,7.02017728311548
184,1.41791489287343
185,0
186,0.247351592049239
187,0
188,0
189,0
190,0
191,0
192,0
193,1.56825519534188
194,4.65539923376196
195,2.09485836993104
196,0
197,0
198,0.642440670329674
199,0
200,0
201,0
202,0
203,0
204,0
205,1.4520133862876
206,4.49371892863005
207,2.2521288076974
208,0.669612984657609
209,2.74481376390311
210,4.4775501942555
211,0.792212523292932
212,0
213,0
214,0
215,0
216,0
217,1.31863507970244
218,4.66969984031448
219,3.41858669045454
220,0.622039679700692
221,1.5998180825704
222,2.43576699598019
223,0.0332939098468705
224,0
225,0
226,0
227,0
228,0
229,5.12387893464366
230,6.56615902547415
231,0.500000229766866
232,0.934711928680753
233,2.99633145179471
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,3.65190640959595
242,4.59804239019225
243,4.43797742313625
244,0.354103979034735
245,0
246,0.474228393963226
247,0
248,0
249,0
250,0
251,0
252,0.91667780721966
253,1.78729985454475
254,5.40685220990657
255,5.78431448300458
256,4.52472506159792
257,2.69221417122227
258,1.59202387614916
259,2.87023483663589
260,0
261,0
262,0
263,0
264,0
265,12.6629733975569
266,2.28586155824133
267,4.56286317763165
268,0.287219730825126
269,5.19615551668282
270,0.359711486922108
271,0
272,0
273,0
274,0
275,0
276,0.336476045392269
277,0.469354011790478
278,1.11208106249951
279,12.172815550768
280,0.0114843115669647
281,2.12289071484022
282,2.28115286522964
283,3.3008268310979
284,0
285,0
286,0
287,0
288,1.4684102889963
289,2.55906584106594
290,0.225546468040606
291,3.10846377075519
292,2.16336647786578
293,0.953400149809457
294,0.906447832304631
295,0
296,0
297,0
298,0
299,0
300,0
301,1.91503521305531
302,7.18439898634006
303,1.82292809608145
304,0.854418174345731
305,0.290922089536454
306,0.427750820821686
307,1.33522130676158
308,0
309,0
310,0
311,0
312,0
313,0.599474693870524
314,5.2726481758899
315,0.633668620858895
316,2.92953376625483
317,0.793564605827006
318,0.0770554530614626
319,0
320,0
321,0
322,0
323,0
324,0
325,15.3851973705488
326,1.84653844273986
327,0.751310643384012
328,4.31832650166142
329,1.30425608031917
330,2.56707706725881
331,0
332,0
333,0
334,0
335,0
336,0.575621272572612
337,5.99675674587662
338,1.83454141806767
339,0.645880952683228
340,4.9958325131995
341,2.38741592412547
342,7.12152515590067
343,0
344,0
345,0
346,0
347,0
348,0
349,6.26595774305198
350,2.61275984769714
351,13.00502922041
352,2.69298393773748
353,1.03901363820206
354,0.648731746319734
355,0
356,0
357,0
358,0
359,0
360,0.112718785155585
361,5.44976702841025
362,2.24264867657364
363,0.0394588802002988
364,4.67767752679559
365,5.37684200450819
366,5.67360359798033
367,0
368,0
369,0
370,0
371,0
372,5.02494357615319
373,3.64561037740124
